ddExp,,dd-rfr,dd-mlr,dd-lr,dd-DT,dd-svr,dd3,dd2,dd1
0.06,0.00006,0.06,0.06741,0.0168099,0.06,0.0402,0.060026716,0.0262,0.0306
0.06,0.00006,0.06,0.0671523,0.0169254,0.06,0.0466,0.060026716,0.0262,0.0306
0.06,0.00006,0.06,0.0684152,0.0166461,0.06,0.0307,0.060026716,0.0262,0.0306
0.06,0.00006,0.06,0.07485213,0.0165344,0.06,0.022,0.060026716,0.0262,0.0306
0.06,0.00006,0.06,0.087415,0.0442792,0.06,0.0247,0.060026716,0.0262,0.0306
0.058,0.000058,0.0468,0.05684123,0.0315759,0.051,0.0196621,0.722515748,0.21468,0.160083
0.05,0.00005,0.05,0.041523,0.018825,0.05,0.0102632,0.151068916,0.145562,0.0919
0.05,0.00005,0.05,0.041256,0.0183873,0.05,0.0102139,0.151068916,0.145562,0.0919
0.05,0.00005,0.05,0.0452316,0.0157148,0.05,0.0404819,0.151068916,0.145562,0.0919
0.05,0.00005,0.05,0.0314562,0.0163432,0.05,0.0400988,0.151068916,0.145562,0.0919
0.05,0.00005,0.05,0.0451263,0.0210352,0.05,0.0108922,0.151068916,0.145562,0.0919
0.05,0.00005,0.05,0.031254,0.0744,0.05,0.0663,0.151068916,0.145562,0.0919
0.047,0.000047,0.0516,0.0374631,0.0274631,0.051,0.010293,0.450505668,0.173699,0.12854
0.047,0.000047,0.056,0.054123,0.035259,0.051,0.0232496,0.450505668,0.173699,0.12854
0.044,0.000044,0.044,0.062541,0.0200153,0.044,0.0806,0.195148596,0.158378,0.134429
0.044,0.000044,0.044,0.056241,0.0194567,0.044,0.0802,0.195148596,0.158378,0.134429
0.044,0.000044,0.044,0.057143,0.0191072,0.044,0.0799,0.195148596,0.158378,0.134429
0.044,0.000044,0.044,0.057412563,0.0196663,0.044,0.0803,0.195148596,0.158378,0.134429
0.044,0.000044,0.044,0.0587412,0.0190372,0.044,0.0798,0.195148596,0.158378,0.134429
0.044,0.000044,0.044,0.0525143,0.0198757,0.044,0.0805,0.195148596,0.158378,0.134429
0.04,0.00004,0.0512,0.03821,0.042282,0.043,0.035366,0.319219248,0.148836,0.10953
0.03,0.00003,0.0275,0.0331254,0.0270292,0.028,0.00774,0.029842097,0.21468,0.160083
0.025,0.000025,0.0287,0.0125463,0.00889,0.028,0.018384,0.319219248,0.148836,0.10953
0.019,0.000019,0.0243,0.01877452,0.0193248,0.023,0.00583,0.369567327,0.158938,0.117242
0.019,0.000019,0.0323,0.01452,0.0301427,0.023,0.0114715,0.369567327,0.158938,0.117242
0.016,0.000016,0.0407,0.0213568,0.0313568,0.023,0.0125529,0.319219248,0.148836,0.10953
