,Nu,P,um,Fluid,SAT,Q,Re,dd,H,dn,Pr,At,mio,k,rho
84,78.24973287,278585.1622,13.69058425,Water,Pressure,0.005,25.2664,0.00505328,0.254,0.016844267,7,5.00E-05,0.001,0.6,1000
85,48.47401026,200000,13,Water,Pressure,0.0214513,24.99762892,0.00116532,0.05,0.045,7,0.002,0.001,0.6,1000
86,72,785000,23.77393531,Water,Pressure,0.0440148,23.00002177,0.000522552,0.05,0.0435,7,0.002,0.001,0.6,1000
87,73.91668482,275790,13.62172941,Water,Pressure,0.005,22.5322,0.00450644,0.254,0.015021467,7,5.00E-05,0.001,0.6,1000
88,31.647,2000000,49.6,Water,Pressure,0.03272,22.4132,0.000685,0.1,0.008,7,0.000625,0.001,0.6,1000
89,52.28738984,400000,18.38477631,Water,Pressure,0.0246292,21.71389085,0.000881632,0.05,0.045,7,0.002,0.001,0.6,1000
90,32.5575,200000,17.2,Water,Pressure,0.00916,20.61,0.00225,0.1,0.008,7,0.000625,0.001,0.6,1000
91,65.92158567,272994.8378,13.55252474,Water,Pressure,0.005,20.3808,0.00407616,0.254,0.0135872,7,5.00E-05,0.001,0.6,1000
92,54.64227938,600000,22.5166605,Water,Pressure,0.028125,18.92235938,0.000672795,0.05,0.045,7,0.002,0.001,0.6,1000
93,42.804,500000,26.2,Water,Pressure,0.01375,18.5625,0.00135,0.1,0.008,7,0.000625,0.001,0.6,1000
94,54.9152785,780000,23.69810119,Water,Pressure,0.0440148,17.9999845,0.000408953,0.05,0.043,7,0.002,0.001,0.6,1000
95,41.74053333,1000000,36.1,Water,Pressure,0.02088,17.24688,0.000826,0.1,0.008,7,0.000625,0.001,0.6,1000
96,39.78933333,896000,21.88210837,FC-72,Pressure,0.009017857,0.946874985,4.00E-05,0.005,0.0007,12,4.90E-05,0.00064,0.057,1680
97,47.82901682,800000,26,Water,Pressure,0.0300318,15.26116971,0.000508167,0.05,0.045,7,0.002,0.001,0.6,1000
98,49.52867256,270199.6757,13.48296487,Water,Pressure,0.005,14.8703,0.00297406,0.254,0.009913533,7,5.00E-05,0.001,0.6,1000
99,41.11335614,689000,19.18866543,FC-72,Pressure,0.007834714,0.884343343,4.30E-05,0.005,0.0007,12,4.90E-05,0.00064,0.057,1680
100,50.53499013,41368.5,5.184713232,PF-5052,Pressure,0.036085813,12.49999999,0.000109,0.00943,0.00076,9.65,0.0001,0.000517,0.062,1643
101,45.60168908,41368.5,5.184713232,PF-5052,Pressure,0.034642381,12.00000017,0.000109,0.00943,0.00076,9.65,0.0001,0.000517,0.062,1643
102,27.21745263,483000,16.0660356,FC-72,Pressure,0.006204286,0.765453785,4.70E-05,0.005,0.0007,12,4.90E-05,0.00064,0.057,1680
103,13.94826667,896000,21.2289111,FC-72,Pressure,0.005555,0.23331,1.60E-05,0.005,0.0007,12,4.90E-05,0.00064,0.057,1680
104,29.91366667,200000,17.2,Water,Pressure,0.00579,9.9588,0.00172,0.1,0.008,7,0.000625,0.001,0.6,1000
105,23.59931053,344000,13.5585854,FC-72,Pressure,0.005151,0.689590125,5.10E-05,0.005,0.0007,12,4.90E-05,0.00064,0.057,1680
106,21.22715801,200000,13,Water,Pressure,0.009375,8.979609375,0.000957825,0.05,0.045,7,0.002,0.001,0.6,1000
107,13.5892,689000,18.61586945,FC-72,Pressure,0.004804714,0.239635111,1.90E-05,0.005,0.0007,12,4.90E-05,0.00064,0.057,1680
108,17.75193333,2000000,49.6,Water,Pressure,0.01653,8.5956,0.00052,0.1,0.008,7,0.000625,0.001,0.6,1000
109,19.142,500000,26.2,Water,Pressure,0.00796,8.1192,0.00102,0.1,0.008,7,0.000625,0.001,0.6,1000
110,20.0325,200000,17.2,Water,Pressure,0.00348,7.83,0.00225,0.2,0.008,7,0.000625,0.001,0.6,1000
111,13.31917895,483000,15.58645245,FC-72,Pressure,0.004242,0.25611075,2.30E-05,0.005,0.0007,12,4.90E-05,0.00064,0.057,1680
112,22.92340961,400000,18.38477631,Water,Pressure,0.0106462,7.539340746,0.000708172,0.05,0.045,7,0.002,0.001,0.6,1000
113,25.45854035,207000,10.51768918,FC-72,Pressure,0.004025571,0.612893185,5.80E-05,0.005,0.0007,12,4.90E-05,0.00064,0.057,1680
114,32.29183717,256223.8649,13.12963885,Water,Pressure,0.005,7.06241,0.001412482,0.254,0.004708273,7,5.00E-05,0.001,0.6,1000
115,11.69606842,344000,13.15385151,FC-72,Pressure,0.003794714,0.268950355,2.70E-05,0.005,0.0007,12,4.90E-05,0.00064,0.057,1680
116,12.88118,1000000,36.1,Water,Pressure,0.01066,6.58788,0.000618,0.1,0.008,7,0.000625,0.001,0.6,1000
117,28.79719995,264609.3514,13.34275727,Water,Pressure,0.005,6.48012,0.001296024,0.254,0.00432008,7,5.00E-05,0.001,0.6,1000
118,17.42183333,2000000,49.6,Water,Pressure,0.00941,6.44585,0.000685,0.2,0.008,7,0.000625,0.001,0.6,1000
119,9.438196069,460000,15.77238092,Water,Pressure,0.047060302,6.278126649,0.000133406,0.023,0.0006,7,0.0004,0.001,0.6,1000
120,9.368268847,460000,15.77238092,Water,Pressure,0.046554516,6.210651761,0.000133406,0.023,0.0006,7,0.0004,0.001,0.6,1000
121,33.73152074,267404.5135,13.41304427,Water,Pressure,0.005,6.21,0.001242,0.254,0.00414,7,5.00E-05,0.001,0.6,1000
122,22.40895827,600000,22.5166605,Water,Pressure,0.0115996,6.147068825,0.000529938,0.05,0.045,7,0.002,0.001,0.6,1000
123,19.9395,500000,26.2,Water,Pressure,0.00453,6.1155,0.00135,0.2,0.008,7,0.000625,0.001,0.6,1000
124,9.241243659,460000,15.77238092,Water,Pressure,0.045640112,6.088664781,0.000133406,0.023,0.0006,7,0.0004,0.001,0.6,1000
125,9.150193747,460000,15.77238092,Water,Pressure,0.04498817,6.001691807,0.000133406,0.023,0.0006,7,0.0004,0.001,0.6,1000
126,9.112039498,460000,15.77238092,Water,Pressure,0.044715846,5.965362151,0.000133406,0.023,0.0006,7,0.0004,0.001,0.6,1000
127,21.91321053,138000,8.587657256,FC-72,Pressure,0.003203143,0.546536274,6.50E-05,0.005,0.0007,12,4.90E-05,0.00064,0.057,1680
128,12.44691151,400000,16.97056275,Water,Pressure,0.055,5.83,0.000106,0.00866,0.0003,7,0.0001,0.001,0.6,1000
129,9.133557384,360000,13.95306418,Water,Pressure,0.040915333,5.816155501,0.000142151,0.023,0.0006,7,0.0004,0.001,0.6,1000
130,9.125715408,360000,13.95306418,Water,Pressure,0.040864298,5.808900825,0.000142151,0.023,0.0006,7,0.0004,0.001,0.6,1000
131,8.930695644,460000,15.77238092,Water,Pressure,0.043428592,5.793634744,0.000133406,0.023,0.0006,7,0.0004,0.001,0.6,1000
132,10.94705263,207000,10.20372831,FC-72,Pressure,0.003131,0.24656625,3.00E-05,0.005,0.0007,12,4.90E-05,0.00064,0.057,1680
133,9.029171435,360000,13.95306418,Water,Pressure,0.040237621,5.719818063,0.000142151,0.023,0.0006,7,0.0004,0.001,0.6,1000
134,26.05698958,259019.027,13.20106062,Water,Pressure,0.005,5.69629,0.001139258,0.254,0.003797527,7,5.00E-05,0.001,0.6,1000
135,11.94999183,400000,16.97056275,Water,Pressure,0.053,5.671,0.000107,0.00866,0.0003,7,0.0001,0.001,0.6,1000
136,8.839755713,360000,13.95306418,Water,Pressure,0.039016921,5.546294337,0.000142151,0.023,0.0006,7,0.0004,0.001,0.6,1000
137,11.3695267,400000,16.97056275,Water,Pressure,0.051,5.508,0.000108,0.00866,0.0003,7,0.0001,0.001,0.6,1000
138,10.897205,350000,15.87450787,Water,Pressure,0.049,5.39,0.00011,0.00866,0.0003,7,0.0001,0.001,0.6,1000
139,12.35723684,896000,20.57571384,FC-72,Pressure,0.002885714,0.189374981,2.50E-05,0.005,0.0007,12,4.90E-05,0.00064,0.057,1680
140,8.559221434,360000,13.95306418,Water,Pressure,0.037230713,5.292383084,0.000142151,0.023,0.0006,7,0.0004,0.001,0.6,1000
141,8.736628113,260000,11.85782442,Water,Pressure,0.033935885,5.248218551,0.000154651,0.023,0.0006,7,0.0004,0.001,0.6,1000
142,9.083209623,160000,9.302042786,Water,Pressure,0.029912728,5.24591476,0.000175374,0.023,0.0006,7,0.0004,0.001,0.6,1000
143,8.682500223,260000,11.85782442,Water,Pressure,0.033630807,5.201037933,0.000154651,0.023,0.0006,7,0.0004,0.001,0.6,1000
144,8.433726115,360000,13.95306418,Water,Pressure,0.036440159,5.180005042,0.000142151,0.023,0.0006,7,0.0004,0.001,0.6,1000
145,8.621361482,260000,11.85782442,Water,Pressure,0.033287249,5.147906345,0.000154651,0.023,0.0006,7,0.0004,0.001,0.6,1000
146,8.368123597,360000,13.95306418,Water,Pressure,0.03602901,5.121559801,0.000142151,0.023,0.0006,7,0.0004,0.001,0.6,1000
147,10.50863162,350000,15.87450787,Water,Pressure,0.046,5.106,0.000111,0.00866,0.0003,7,0.0001,0.001,0.6,1000
