Nu,SVR,RFR,DT,P,um,Fluid,SAT,Q,Re,dd,H,dn,Pr,At,mio,k,rho
7.79500326,7.995258428,8.029276722,7.921330669,160000,9.302042786,Water,Pressure,0.023951845,4.200519871,0.000175374,0.023,0.0006,7,0.0004,0.001,0.6,1000
7.515224699,8.209952812,8.060081598,8.017798171,250000,13.41640786,Water,Pressure,0.036,4.176,0.000116,0.00866,0.0003,7,0.0001,0.001,0.6,1000
19.60658,18.860493,16.66073666,16.33881667,272000,15.16047493,Water,Pressure,0.036054422,4.146258503,0.00046,0.007,0.0007,7,0.000049,0.001,0.6,1000
13.07105333,18.860493,16.66073666,16.33881667,136000,10.72007463,Water,Pressure,0.036054422,4.146258503,0.00046,0.007,0.0007,7,0.000049,0.001,0.6,1000
10.62983158,10.80257211,10.82941608,10.62983158,483000,15.1068693,FC-72,Pressure,0.002250857,4.13595,0.000028,0.005,0.0007,12,0.000049,0.00064,0.057,1680
13.1659,13.08844,13.08710775,13.1659,620528,19.3757436,Water,Pressure,0.00443,4.123853865,0.000837803,0.03,0.00076,7,0.001963,0.0009,0.6,1000
20.44041566,20.75491105,20.05911644,20.44041566,250633.5405,12.98561689,Water,Pressure,0.005,4.09748,0.000819496,0.254,0.002731653,7,0.00005,0.001,0.6,1000
13.9804245,9.379739248,9.927697622,7.019563915,584772,20.51915788,Water,Pressure,0.033120211,3.980633682,0.000120187,0.01451,0.00056,7,0.0002,0.001,0.6,1000
7.019563915,8.489259937,7.917694498,7.019563915,250000,13.41640786,Water,Pressure,0.034,3.978,0.000117,0.00866,0.0003,7,0.0001,0.001,0.6,1000
12.45769603,9.990472124,10.02585028,7.019563915,555838,20.00508335,Water,Pressure,0.032472935,3.954472791,0.000121777,0.01451,0.00056,7,0.0002,0.001,0.6,1000
10.81526251,10.37004198,10.1740753,10.81526251,537563,19.67346843,Water,Pressure,0.031739016,3.898709629,0.000122837,0.01451,0.00056,7,0.0002,0.001,0.6,1000
12.7786,12.6483,12.66065141,12.7786,620528,19.3757436,Water,Pressure,0.00443,3.892103554,0.000790721,0.03,0.00076,7,0.001963,0.0009,0.6,1000
9.33119409,9.143287352,9.677070761,9.33119409,516244,19.27941078,Water,Pressure,0.031091564,3.859417511,0.000124131,0.01451,0.00056,7,0.0002,0.001,0.6,1000
9.748,10.061318,10.01431961,9.748,2000000,49.6,Water,Pressure,0.0096,3.84,0.0004,0.1,0.008,7,0.000625,0.001,0.6,1000
10.956575,10.78355183,10.85703285,10.956575,2000000,49.6,Water,Pressure,0.00557,3.81545,0.000685,0.3,0.008,7,0.000625,0.001,0.6,1000
7.649626188,7.817782978,7.582581795,7.649626188,501015,18.99291447,Water,Pressure,0.030328998,3.794070257,0.000125097,0.01451,0.00056,7,0.0002,0.001,0.6,1000
7.25182888,7.174303766,7.320032488,6.698981344,455330,18.1062862,Water,Pressure,0.02934833,3.763444697,0.000128234,0.01451,0.00056,7,0.0002,0.001,0.6,1000
12.98026667,12.76378649,11.5193594,12.98026667,200000,17.2,Water,Pressure,0.00215,3.698,0.00172,0.2,0.008,7,0.000625,0.001,0.6,1000
11.83865833,12.984135,12.40803941,10.956575,500000,26.2,Water,Pressure,0.00472,3.68632,0.000781,0.1,0.008,7,0.000625,0.001,0.6,1000
6.698981344,6.765282217,6.330578334,6.698981344,423350,17.45886594,Water,Pressure,0.028151494,3.678704469,0.000130675,0.01451,0.00056,7,0.0002,0.001,0.6,1000
12.1271,12.11328,12.34740645,12.1271,620528,19.3757436,Water,Pressure,0.00443,3.673169504,0.000746242,0.03,0.00076,7,0.001963,0.0009,0.6,1000
6.411345227,6.621464158,6.317404525,6.411345227,405076,17.07790151,Water,Pressure,0.027286116,3.606603549,0.000132177,0.01451,0.00056,7,0.0002,0.001,0.6,1000
5.891579198,6.336075955,6.297896743,6.411345227,367005,16.25557135,Water,Pressure,0.0263058,3.56705747,0.0001356,0.01451,0.00056,7,0.0002,0.001,0.6,1000
11.3374,10.903726,11.03616325,11.3374,620528,19.3757436,Water,Pressure,0.00443,3.516868211,0.000714488,0.03,0.00076,7,0.001963,0.0009,0.6,1000
20.4538006,19.03944053,19.25770558,19.59943865,247838.3784,12.91300356,Water,Pressure,0.005,3.50102,0.000700204,0.254,0.002334013,7,0.00005,0.001,0.6,1000
5.272040327,5.994284485,6.196742831,5.272040327,325888,15.31794242,Water,Pressure,0.02486362,3.47686878,0.000139838,0.01451,0.00056,7,0.0002,0.001,0.6,1000
10.4414,10.366126,10.45634177,10.4414,620528,19.3757436,Water,Pressure,0.00443,3.416082253,0.000694012,0.03,0.00076,7,0.001963,0.0009,0.6,1000
8.749136842,8.813788421,8.486019312,8.749136842,344000,12.74911762,FC-72,Pressure,0.001846857,3.3936,0.000027,0.005,0.0007,12,0.000049,0.00064,0.057,1680
10.13175,10.84804369,10.90148518,10.13175,500000,26.2,Water,Pressure,0.00247,3.3345,0.00135,0.3,0.008,7,0.000625,0.001,0.6,1000
9.779568333,10.34220633,9.930565043,9.779568333,1000000,36.1,Water,Pressure,0.00666,3.32334,0.000499,0.1,0.008,7,0.000625,0.001,0.6,1000
9.68866,9.839208,10.19034717,9.68866,620528,19.3757436,Water,Pressure,0.00443,3.270646414,0.000664465,0.03,0.00076,7,0.001963,0.0009,0.6,1000
19.59943865,19.03944053,19.70404015,19.59943865,245043.2162,12.83997959,Water,Pressure,0.005,3.16722,0.000633444,0.254,0.00211148,7,0.00005,0.001,0.6,1000
18.24143533,18.4962392,17.871604,18.24143533,242248.0541,12.76653793,Water,Pressure,0.005,3.16675,0.00063335,0.254,0.002111167,7,0.00005,0.001,0.6,1000
8.53113,8.594901,8.7947771,8.53175,239061,12.02630055,Water,Pressure,0.00275,3.108481427,0.001017321,0.03,0.00061,7,0.001963,0.0009,0.6,1000
15.35746073,17.1243027,17.37868871,15.35746073,233862.5676,12.54363326,Water,Pressure,0.005,2.98961,0.000597922,0.254,0.001993073,7,0.00005,0.001,0.6,1000
8.53175,7.986061,8.545385082,8.53175,239061,12.02630055,Water,Pressure,0.00275,2.976682326,0.000974187,0.03,0.00061,7,0.001963,0.0009,0.6,1000
11.1826,7.525545413,8.225019714,8.32608,500000,26.2,Water,Pressure,0.00289,2.9478,0.00102,0.2,0.008,7,0.000625,0.001,0.6,1000
19.053572,18.47810683,17.97169503,19.053572,239452.8919,12.69267134,Water,Pressure,0.005,2.82464,0.000564928,0.254,0.001883093,7,0.00005,0.001,0.6,1000
8.21906,7.670061333,8.414462841,8.53175,239061,12.02630055,Water,Pressure,0.00275,2.789132847,0.000912807,0.03,0.00061,7,0.001963,0.0009,0.6,1000
18.2512043,17.99668621,17.94512074,18.2512043,236657.7297,12.61837234,Water,Pressure,0.005,2.78428,0.000556856,0.254,0.001856187,7,0.00005,0.001,0.6,1000
7.083947368,8.314231579,7.975079816,7.083947368,207000,9.889767439,FC-72,Pressure,0.001500571,2.7573,0.000027,0.005,0.0007,12,0.000049,0.00064,0.057,1680
5.0625,5.851474,5.726119512,5.0625,200000,17.2,Water,Pressure,0.00121,2.7225,0.00225,0.4,0.008,7,0.000625,0.001,0.6,1000
9.002933333,8.962134103,9.447789333,9.002933333,2000000,49.6,Water,Pressure,0.00522,2.7144,0.00052,0.2,0.008,7,0.000625,0.001,0.6,1000
8.32608,7.479834913,7.995475799,8.32608,1000000,36.1,Water,Pressure,0.00305,2.5193,0.000826,0.3,0.008,7,0.000625,0.001,0.6,1000
8.09843,8.087621,8.096276252,8.09843,239061,12.02630055,Water,Pressure,0.00275,2.484726064,0.000813183,0.03,0.00061,7,0.001963,0.0009,0.6,1000
22.34063333,18.05831821,18.44245533,18.18304583,272000,15.16047493,Water,Pressure,0.018027211,2.478741497,0.00055,0.0033,0.0007,7,0.000049,0.001,0.6,1000
14.02545833,18.05831821,18.44245533,18.18304583,136000,10.72007463,Water,Pressure,0.018027211,2.478741497,0.00055,0.0033,0.0007,7,0.000049,0.001,0.6,1000
11.88472603,12.27218882,11.54122513,11.88472603,1921582.144,20.48524538,HFE-7100,Pressure,0.00425342,2.468102921,0.00006,0.005,0.00015,6,0.000625,0.00038,0.073,1470
11.0025696,11.12909799,10.11913844,10.56336699,550000,19.89974874,Water,Pressure,0.036,2.448,0.000068,0.00866,0.0003,7,0.0001,0.001,0.6,1000
14.10128797,15.40150203,13.72262402,14.10128797,231067.4054,12.46844619,Water,Pressure,0.005,2.4467,0.00048934,0.254,0.001631133,7,0.00005,0.001,0.6,1000
7.421975,7.5145875,7.815578584,7.421975,2000000,49.6,Water,Pressure,0.00352,2.4112,0.000685,0.4,0.008,7,0.000625,0.001,0.6,1000
10.84861644,11.14660829,11.30708195,10.84861644,1857439.918,19.57170421,HFE-7100,Pressure,0.00404046,2.344530079,0.00006,0.005,0.00015,6,0.000625,0.00038,0.073,1470
7.91965,7.911044,7.837562436,7.91965,239061,12.02630055,Water,Pressure,0.00275,2.278366678,0.000745647,0.03,0.00061,7,0.001963,0.0009,0.6,1000
19.49,16.42266067,15.30547214,15.61933334,272000,15.16047493,Water,Pressure,0.018027211,2.253401361,0.0005,0.005,0.0007,7,0.000049,0.001,0.6,1000
11.74866667,16.42266067,15.30547214,15.61933334,136000,10.72007463,Water,Pressure,0.018027211,2.253401361,0.0005,0.005,0.0007,7,0.000049,0.001,0.6,1000
10.56336699,10.59266629,10.37407468,10.56336699,500000,18.97366596,Water,Pressure,0.03,2.25,0.000075,0.00866,0.0003,7,0.0001,0.001,0.6,1000
10.54975198,10.58585878,10.39286609,10.54975198,550000,19.89974874,Water,Pressure,0.033,2.244,0.000068,0.00866,0.0003,7,0.0001,0.001,0.6,1000
14.29662,13.11913292,13.22595341,14.29662,2434719.954,26.82932724,HFE-7000,Pressure,0.00469387,2.190472667,0.00006,0.005,0.00015,8,0.000625,0.00045,0.075,1400
13.13127309,13.54578851,13.40314267,13.91179913,228272.2432,12.39280296,Water,Pressure,0.005,2.15088,0.000430176,0.254,0.00143392,7,0.00005,0.001,0.6,1000
5.936866667,5.611276333,5.860011655,5.0625,200000,17.2,Water,Pressure,0.00124,2.1328,0.00172,0.3,0.008,7,0.000625,0.001,0.6,1000
7.54681,7.210794,7.631507773,7.54681,1000000,36.1,Water,Pressure,0.00343,2.11974,0.000618,0.2,0.008,7,0.000625,0.001,0.6,1000
5.64075,6.178432676,6.973764513,5.371753333,500000,26.2,Water,Pressure,0.00157,2.1195,0.00135,0.4,0.008,7,0.000625,0.001,0.6,1000
9.629671233,10.80433186,9.612232794,9.629671233,1793297.692,18.74042394,HFE-7100,Pressure,0.0036442,2.114595,0.00006,0.005,0.00015,6,0.000625,0.00038,0.073,1470
7.68693,7.667238,7.811456356,7.68693,239061,12.02630055,Water,Pressure,0.00275,2.104249214,0.000688663,0.03,0.00061,7,0.001963,0.0009,0.6,1000
13.76272,12.10950049,13.15354321,13.34746,2370577.728,26.12248568,HFE-7000,Pressure,0.0044498,2.076573333,0.00006,0.005,0.00015,8,0.000625,0.00045,0.075,1400
17.59561333,14.81474383,14.24322915,13.53185833,272000,15.16047493,Water,Pressure,0.018027211,2.073129252,0.00046,0.007,0.0007,7,0.000049,0.001,0.6,1000
9.468103333,14.81474383,14.24322915,13.53185833,136000,10.72007463,Water,Pressure,0.018027211,2.073129252,0.00046,0.007,0.0007,7,0.000049,0.001,0.6,1000
10.03925534,10.72305281,9.848448528,9.654217674,500000,18.97366596,Water,Pressure,0.027,2.025,0.000075,0.00866,0.0003,7,0.0001,0.001,0.6,1000
7.63013,7.316805,7.770542026,7.63013,239061,12.02630055,Water,Pressure,0.00275,2.01499312,0.000659452,0.03,0.00061,7,0.001963,0.0009,0.6,1000
13.91179913,13.51602321,13.42293239,13.91179913,225477.0811,12.31669518,Water,Pressure,0.005,2.00268,0.000400536,0.254,0.00133512,7,0.00005,0.001,0.6,1000
13.34746,11.88050093,13.18234868,13.34746,2306435.502,25.57960715,HFE-7000,Pressure,0.00426677,1.991159333,0.00006,0.005,0.00015,8,0.000625,0.00045,0.075,1400
11.8796203,12.90636956,12.27065938,11.8796203,222681.9189,12.24011418,Water,Pressure,0.005,1.9736,0.00039472,0.254,0.001315733,7,0.00005,0.001,0.6,1000
8.959253425,9.321409012,9.433637202,8.959253425,1729155.466,17.60281355,HFE-7100,Pressure,0.00335439,1.946428934,0.00006,0.005,0.00015,6,0.000625,0.00038,0.073,1470
4.353,6.037581176,4.991145601,4.353,200000,17.2,Water,Pressure,0.00215,1.935,0.0009,0.1,0.008,7,0.000625,0.001,0.6,1000
6.229566667,7.07154279,8.44065485,9.002933333,2000000,49.6,Water,Pressure,0.0052,1.924,0.00037,0.1,0.008,7,0.000625,0.001,0.6,1000
12.87288,10.71031498,12.17152752,10.84861644,2242293.275,24.83704006,HFE-7000,Pressure,0.00402264,1.877232,0.00006,0.005,0.00015,8,0.000625,0.00045,0.075,1400
9.654217674,9.942987551,9.686042818,9.654217674,500000,18.97366596,Water,Pressure,0.0249,1.8675,0.000075,0.00866,0.0003,7,0.0001,0.001,0.6,1000
9.494245498,9.622795682,9.467489233,9.494245498,450000,18,Water,Pressure,0.022,1.804,0.000082,0.00866,0.0003,7,0.0001,0.001,0.6,1000
7.016316563,6.740847461,6.718949748,6.786832397,182403.69,11.45995885,Water,Pressure,0.0116604,1.789684871,0.000153484,0.023,0.00051,7,0.000314,0.001,0.6,1000
5.371753333,5.768120166,5.525099249,5.371753333,1000000,36.1,Water,Pressure,0.00214,1.76764,0.000826,0.4,0.008,7,0.000625,0.001,0.6,1000
9.425464602,7.083650163,6.39238627,7.25464,896000,28.14306435,PSF-3,Pressure,0.07,1.75260223,0.000025,0.004,0.00015,47,0.000049,0.00269,0.113,898
7.25464,7.299801289,6.89388565,7.25464,689000,27.11799916,PAO-2,Pressure,0.121020408,1.745812581,0.000028,0.004,0.00015,76,0.000049,0.00461,0.14,791.7
6.786832397,6.695038731,6.554560957,6.786832397,182403.69,11.45995885,Water,Pressure,0.011366,1.744499181,0.000153484,0.023,0.00051,7,0.000314,0.001,0.6,1000
9.507780822,10.18942707,9.438692932,9.507780822,1665013.239,16.3826904,HFE-7100,Pressure,0.00295625,1.715402961,0.00006,0.005,0.00015,6,0.000625,0.00038,0.073,1470
12.04238,11.84513039,12.04211477,12.04238,2178151.049,23.72943026,HFE-7000,Pressure,0.00367186,1.713534667,0.00006,0.005,0.00015,8,0.000625,0.00045,0.075,1400
6.557348232,6.564996851,6.541901972,6.557348232,182403.69,11.45995885,Water,Pressure,0.0110717,1.699328839,0.000153484,0.023,0.00051,7,0.000314,0.001,0.6,1000
9.447030387,9.588908461,9.569468399,9.447030387,219886.7568,12.16305101,Water,Pressure,0.005,1.6855,0.0003371,0.254,0.001123667,7,0.00005,0.001,0.6,1000
7.385714286,7.304011123,7.083813676,7.385714286,896000,30.92445374,PAO-2,Pressure,0.130204082,1.677048342,0.000025,0.004,0.00015,76,0.000049,0.00461,0.14,791.7
14.28413158,13.70273549,13.21684646,14.28413158,1600871.013,19.16219242,FC-72,Pressure,0.0042542,1.67509125,0.00006,0.005,0.00015,12,0.000625,0.00064,0.057,1680
6.404350261,6.480849247,6.475334078,6.404350261,182403.69,11.45995885,Water,Pressure,0.0108,1.657627235,0.000153484,0.023,0.00051,7,0.000314,0.001,0.6,1000
9.067087157,9.11688047,8.969611432,9.067087157,450000,18,Water,Pressure,0.02,1.64,0.000082,0.00866,0.0003,7,0.0001,0.001,0.6,1000
6.386279646,6.199063363,6.151587308,6.386279646,689000,24.67896772,PSF-3,Pressure,0.057755102,1.619547531,0.000028,0.004,0.00015,47,0.000049,0.00269,0.113,898
5.309025,5.940727833,5.53395762,5.309025,500000,26.2,Water,Pressure,0.00251,1.60389,0.000639,0.1,0.008,7,0.000625,0.001,0.6,1000
6.46,5.992800333,5.959409573,6.46,500000,26.2,Water,Pressure,0.00157,1.6014,0.00102,0.3,0.008,7,0.000625,0.001,0.6,1000
6.236055052,6.333672679,6.395281854,6.236055052,182403.69,11.45995885,Water,Pressure,0.0103472,1.588129678,0.000153484,0.023,0.00051,7,0.000314,0.001,0.6,1000
12.64494737,12.40420555,12.31351865,12.64494737,1536728.787,18.30765291,FC-72,Pressure,0.00401091,1.579295813,0.00006,0.005,0.00015,12,0.000625,0.00064,0.057,1680
11.5678,11.53830628,10.97830535,12.64494737,2114008.823,22.72155649,HFE-7000,Pressure,0.00336657,1.571066,0.00006,0.005,0.00015,8,0.000625,0.00045,0.075,1400
8.92230553,9.054758168,9.334933221,8.92230553,217091.5946,12.08549647,Water,Pressure,0.005,1.569,0.0003138,0.254,0.001046,7,0.00005,0.001,0.6,1000
7.2852,6.894202,6.801520296,7.2852,2000000,49.6,Water,Pressure,0.00301,1.5652,0.00052,0.3,0.008,7,0.000625,0.001,0.6,1000
4.621275,6.294677833,5.02726929,4.621275,1000000,36.1,Water,Pressure,0.00355,1.55135,0.000437,0.1,0.008,7,0.000625,0.001,0.6,1000
6.4952,5.244177333,4.2112648,3.124666667,200000,17.2,Water,Pressure,0.0011,1.518,0.00138,0.2,0.008,7,0.000625,0.001,0.6,1000
5.954776517,5.900724345,5.823914256,5.954776517,196133,11.88342375,Water,Pressure,0.00998491,1.503987949,0.000150626,0.022,0.00051,7,0.000314,0.001,0.6,1000
8.640304621,8.887082185,8.680554099,8.640304621,450000,18,Water,Pressure,0.0181,1.4842,0.000082,0.00866,0.0003,7,0.0001,0.001,0.6,1000
9.185017892,8.725618747,9.325443539,9.185017892,214296.4324,12.00744102,Water,Pressure,0.005,1.46081,0.000292162,0.254,0.000973873,7,0.00005,0.001,0.6,1000
5.774602609,5.79262,5.724422437,5.774602609,196133,11.88342375,Water,Pressure,0.00969057,1.459652666,0.000150626,0.022,0.00051,7,0.000314,0.001,0.6,1000
12.80107895,11.33776769,11.6033821,11.74853906,1472586.561,17.53006141,FC-72,Pressure,0.00367439,1.446791063,0.00006,0.005,0.00015,12,0.000625,0.00064,0.057,1680
6.3624,6.002568786,6.464062471,6.3624,483000,22.70500477,PAO-2,Pressure,0.1,1.442577007,0.000028,0.004,0.00015,76,0.000049,0.00461,0.14,791.7
11.74853906,12.04710366,12.10697015,11.74853906,1280159.882,19.22681011,FC-74,Pressure,0.0042704,1.435178734,0.00006,0.005,0.00015,13,0.000625,0.00079,0.064,1770
3.124666667,4.446329494,3.71468079,3.124666667,200000,17.2,Water,Pressure,0.00082,1.4104,0.00172,0.4,0.008,7,0.000625,0.001,0.6,1000
5.654478303,5.41350957,5.707277228,5.654478303,196133,11.88342375,Water,Pressure,0.00935094,1.408495527,0.000150626,0.022,0.00051,7,0.000314,0.001,0.6,1000
8.392147668,8.658900991,8.327720625,8.392147668,400000,16.97056275,Water,Pressure,0.0157,1.3973,0.000089,0.00866,0.0003,7,0.0001,0.001,0.6,1000
5.486017699,6.082890086,5.642109088,5.486017699,483000,20.66288432,PSF-3,Pressure,0.049795918,1.396359002,0.000028,0.004,0.00015,47,0.000049,0.00269,0.113,898
10.44068,10.86807622,10.89461419,10.44068,2049866.597,21.34227719,HFE-7000,Pressure,0.00297025,1.386116667,0.00006,0.005,0.00015,8,0.000625,0.00045,0.075,1400
5.474304395,5.491571881,5.586944201,5.474304395,196133,11.88342375,Water,Pressure,0.00907925,1.367571925,0.000150626,0.022,0.00051,7,0.000314,0.001,0.6,1000
5.41006,5.6683935,5.250493303,5.41006,112234,8.240240895,Water,Pressure,0.00188,1.35342742,0.000647917,0.03,0.00051,7,0.001963,0.0009,0.6,1000
11.05335938,11.5849905,11.31780738,11.05335938,1216017.656,18.66866251,FC-74,Pressure,0.0040264,1.353176203,0.00006,0.005,0.00015,13,0.000625,0.00079,0.064,1770
5.338135,5.880696,5.681685549,6.11099,500000,26.2,Water,Pressure,0.00171,1.33551,0.000781,0.2,0.008,7,0.000625,0.001,0.6,1000
11.23997368,11.1397176,11.34921264,11.23997368,1408444.334,16.46592433,FC-72,Pressure,0.00336988,1.32689025,0.00006,0.005,0.00015,12,0.000625,0.00064,0.057,1680
5.288666667,5.3175,5.086053708,5.288666667,2000000,49.6,Water,Pressure,0.0033,1.32,0.0004,0.2,0.008,7,0.000625,0.001,0.6,1000
5.106457532,5.183395495,4.993865349,5.106457532,215746.3,12.46343997,Water,Pressure,0.00883019,1.297626018,0.000146953,0.02,0.00051,7,0.000314,0.001,0.6,1000
5.21178,5.21010342,5.195938934,5.21178,112234,8.240240895,Water,Pressure,0.00188,1.268156898,0.000607096,0.03,0.00051,7,0.001963,0.0009,0.6,1000
4.959969532,4.965828072,4.970458611,4.959969532,215746.3,12.46343997,Water,Pressure,0.00853585,1.254371768,0.000146953,0.02,0.00051,7,0.000314,0.001,0.6,1000
10.70578125,10.84737755,10.84640342,10.70578125,1151875.429,17.836132,FC-74,Pressure,0.00372091,1.250508361,0.00006,0.005,0.00015,13,0.000625,0.00079,0.064,1770
7.940236283,8.658900991,8.027374647,8.93396997,400000,16.97056275,Water,Pressure,0.014,1.246,0.000089,0.00866,0.0003,7,0.0001,0.001,0.6,1000
20.33698333,19.0996251,17.67792641,20.33698333,272000,15.16047493,Water,Pressure,0.009013605,1.239370748,0.00055,0.0033,0.0007,7,0.000049,0.001,0.6,1000
9.4171,19.0996251,17.67792641,20.33698333,136000,10.72007463,Water,Pressure,0.009013605,1.239370748,0.00055,0.0033,0.0007,7,0.000049,0.001,0.6,1000
9.3245246,8.701181744,9.15779127,9.3245246,211501.2703,11.92887483,Water,Pressure,0.005,1.23047,0.000246094,0.254,0.000820313,7,0.00005,0.001,0.6,1000
4.842774234,4.866213294,4.960114207,4.842774234,215746.3,12.46343997,Water,Pressure,0.00824151,1.211117519,0.000146953,0.02,0.00051,7,0.000314,0.001,0.6,1000
10.38136,9.897484166,10.26108757,10.70578125,1985724.37,19.86295649,HFE-7000,Pressure,0.00257276,1.200621333,0.00006,0.005,0.00015,8,0.000625,0.00045,0.075,1400
7.963401035,7.758741825,8.391107148,7.963401035,205910.9459,11.77016926,Water,Pressure,0.005,1.17841,0.000235682,0.254,0.000785607,7,0.00005,0.001,0.6,1000
5.316801429,5.02503655,5.161727087,5.316801429,345000,19.18923138,PAO-2,Pressure,0.084693878,1.178139603,0.000027,0.004,0.00015,76,0.000049,0.00461,0.14,791.7
4.94624,5.053623,5.035322492,4.94624,112234,8.240240895,Water,Pressure,0.00188,1.171176833,0.00056067,0.03,0.00051,7,0.001963,0.0009,0.6,1000
3.513966372,4.707789532,3.96359963,3.513966372,345000,17.4633246,PSF-3,Pressure,0.043265306,1.169900311,0.000027,0.004,0.00015,47,0.000049,0.00269,0.113,898
11.00578947,10.825412,11.27956829,11.00578947,1344302.108,15.32460364,FC-72,Pressure,0.00295723,1.164409313,0.00006,0.005,0.00015,12,0.000625,0.00064,0.057,1680
6.11099,5.824641,5.893634499,6.11099,1000000,36.1,Water,Pressure,0.00186,1.14948,0.000618,0.3,0.008,7,0.000625,0.001,0.6,1000
8.93396997,8.146969399,8.417421733,8.93396997,208706.1081,11.84978774,Water,Pressure,0.005,1.14545,0.00022909,0.254,0.000763633,7,0.00005,0.001,0.6,1000
9.017238938,8.518792187,8.282461052,9.017238938,1729400,46.4084488,PSF-3,Pressure,0.028367347,1.136381155,0.00004,0.004,0.00015,47,0.000049,0.00269,0.113,898
9.80203125,10.49941489,9.838752868,9.80203125,1087733.203,17.07856769,FC-74,Pressure,0.00337007,1.132599475,0.00006,0.005,0.00015,13,0.000625,0.00079,0.064,1770
17.94175,6.275427437,8.718831498,6.375225,272000,15.16047493,Water,Pressure,0.009013605,1.12670068,0.0005,0.005,0.0007,7,0.000049,0.001,0.6,1000
6.375225,6.275427437,8.718831498,6.375225,136000,10.72007463,Water,Pressure,0.009013605,1.12670068,0.0005,0.005,0.0007,7,0.000049,0.001,0.6,1000
3.789073333,4.787673,4.323497589,3.789073333,1000000,36.1,Water,Pressure,0.00225,1.12275,0.000499,0.2,0.008,7,0.000625,0.001,0.6,1000
4.58978,4.957238,4.571035984,4.58978,112234,8.240240895,Water,Pressure,0.00188,1.105239981,0.000529104,0.03,0.00051,7,0.001963,0.0009,0.6,1000
5.577,5.601565667,5.255167631,5.577,2000000,49.6,Water,Pressure,0.00211,1.0972,0.00052,0.4,0.008,7,0.000625,0.001,0.6,1000
7.740231126,6.782127793,7.134166305,6.900537213,200320.6216,11.6092943,Water,Pressure,0.005,1.09702,0.000219404,0.254,0.000731347,7,0.00005,0.001,0.6,1000
4.807525714,5.192303322,4.911982748,4.807525714,1385000,42.98504367,PAO-2,Pressure,0.091428571,1.083404772,0.000023,0.004,0.00015,76,0.000049,0.00461,0.14,791.7
6.900537213,6.782127793,7.134166305,6.900537213,197525.4595,11.52801497,Water,Pressure,0.005,1.08119,0.000216238,0.254,0.000720793,7,0.00005,0.001,0.6,1000
7.370519963,7.302096465,7.577622382,7.370519963,400000,16.97056275,Water,Pressure,0.012,1.068,0.000089,0.00866,0.0003,7,0.0001,0.001,0.6,1000
4.445588571,4.667858484,4.715934959,4.445588571,1212800,38.98005909,PAO-2,Pressure,0.076122449,1.058906198,0.000027,0.004,0.00015,76,0.000049,0.00461,0.14,791.7
4.32323,4.483578277,4.490290761,4.32323,112234,8.240240895,Water,Pressure,0.00188,1.050612237,0.000502953,0.03,0.00051,7,0.001963,0.0009,0.6,1000
5.041663571,4.793358285,5.318011987,4.807525714,1557200,46.99002825,PAO-2,Pressure,0.107142857,1.048812364,0.000019,0.004,0.00015,76,0.000049,0.00461,0.14,791.7
4.30675601,4.263794412,4.293610308,4.30675601,294199.5,14.55416229,Water,Pressure,0.00772075,1.047012956,0.00013561,0.02,0.00051,7,0.000314,0.001,0.6,1000
16.00363,7.279510689,9.935831776,10.09653233,272000,15.16047493,Water,Pressure,0.009013605,1.036564626,0.00046,0.007,0.0007,7,0.000049,0.001,0.6,1000
4.189434667,7.279510689,9.935831776,10.09653233,136000,10.72007463,Water,Pressure,0.009013605,1.036564626,0.00046,0.007,0.0007,7,0.000049,0.001,0.6,1000
8.327045133,6.872364113,8.150608268,8.327045133,1557200,42.76367823,PSF-3,Pressure,0.023877551,1.028261437,0.000043,0.004,0.00015,47,0.000049,0.00269,0.113,898
3.92234,4.483578277,4.505952125,4.30675601,112234,8.240240895,Water,Pressure,0.00188,1.020459095,0.000488518,0.03,0.00051,7,0.001963,0.0009,0.6,1000
4.08,4.278346,3.896950584,4.08,500000,26.2,Water,Pressure,0.001,1.02,0.00102,0.4,0.008,7,0.000625,0.001,0.6,1000
5.389725714,5.026238285,5.34889232,5.389725714,1729400,50.99501284,PAO-2,Pressure,0.122857143,1.012747939,0.000016,0.004,0.00015,76,0.000049,0.00461,0.14,791.7
7.52373911,6.633860154,7.221106494,7.52373911,203115.7838,11.69000853,Water,Pressure,0.005,1.00675,0.00020135,0.254,0.000671167,7,0.00005,0.001,0.6,1000
6.424336429,6.084158813,6.690144403,6.424336429,194730.2973,11.44615848,Water,Pressure,0.005,1.00642,0.000201284,0.254,0.000670947,7,0.00005,0.001,0.6,1000
4.158059354,4.16376376,4.162438881,4.158059354,294199.5,14.55416229,Water,Pressure,0.00731321,0.991746349,0.00013561,0.018,0.00051,7,0.000314,0.001,0.6,1000
9.106851563,9.199423479,9.036022635,9.106851563,999740,16.04183788,FC-74,Pressure,0.00294258,0.988930367,0.00006,0.005,0.00015,13,0.000625,0.00079,0.064,1770
2.948877876,3.378340513,3.603073234,2.948877876,207000,13.52703307,PSF-3,Pressure,0.036122449,0.976756392,0.000027,0.004,0.00015,47,0.000049,0.00269,0.113,898
6.875309735,6.524625487,5.724449678,5.768867257,1385000,39.11890766,PSF-3,Pressure,0.020612245,0.970216069,0.000047,0.004,0.00015,47,0.000049,0.00269,0.113,898
