Nu,SVR,RFR,DT,P,um,Fluid,SAT,Q,Re,dd,H,dn,Pr,At,mio,k,rho
200.54,198.234,199.5132854,203,579000,20.41763943,Water,Pressure,0.0700742,74,0.001056023,0.05,0.0428,7,0.002,0.001,0.6,1000
196.37,196.983,197.1366979,194,579000,20.41763943,Water,Pressure,0.0700742,73,0.001041753,0.05,0.0427,7,0.002,0.001,0.6,1000
196.37,196.37,196.0108479,194,579000,20.41763943,Water,Pressure,0.069127251,73,0.001056023,0.05,0.0427,7,0.002,0.001,0.6,1000
187.2,192.702,185.6272828,189,579000,20.41763943,Water,Pressure,0.069127251,72,0.001041557,0.05,0.0427,7,0.002,0.001,0.6,1000
168,159.522,156.2209127,168,579000,20.41763943,Water,Pressure,0.06720705,70,0.001041557,0.05,0.0427,7,0.002,0.001,0.6,1000
170,145.3739855,143.0140641,140.3362319,780000,23.69810119,Water,Pressure,0.0805614,69,0.00085649,0.05,0.043,7,0.002,0.001,0.6,1000
180.9,174.711,169.6772917,180.9,779000,23.68290523,Water,Pressure,0.0805614,67,0.000831664,0.05,0.0429,7,0.002,0.001,0.6,1000
178.86,170.011,165.7233719,178.86,779000,23.68290523,Water,Pressure,0.0805614,66,0.000819251,0.05,0.0428,7,0.002,0.001,0.6,1000
174.85,171.176,167.8201573,174.85,779000,23.68290523,Water,Pressure,0.0805614,65,0.000806838,0.05,0.0427,7,0.002,0.001,0.6,1000
174.85,162.738,167.8576813,174.85,779000,23.68290523,Water,Pressure,0.079340773,65,0.000819251,0.05,0.0427,7,0.002,0.001,0.6,1000
166.4,158.06,152.9024667,166.4,779000,23.68290523,Water,Pressure,0.079340773,64,0.000806647,0.05,0.0427,7,0.002,0.001,0.6,1000
148.8,130.0320779,141.7660714,148.8,779000,23.68290523,Water,Pressure,0.076861374,62,0.000806647,0.05,0.0427,7,0.002,0.001,0.6,1000
95.48,107.904,100.5006021,95.48,131000,9.226256012,PF-5052,Pressure,0.14137271,62,0.000138,0.0111,0.0017,9.65,0.0001,0.000517,0.062,1643
90.12161717,100.944,100.0780116,101,131000,9.226256012,PF-5052,Pressure,0.139597342,61.2214,0.000138,0.0111,0.0017,9.65,0.0001,0.000517,0.062,1643
156.2,166.594,159.1406033,168,500000,18.97366596,Water,Pressure,0.069127251,71,0.001041557,0.05,0.0427,7,0.002,0.001,0.6,1000
138,150.522,150.5228366,138,500000,18.97366596,Water,Pressure,0.06720705,69,0.001041557,0.05,0.0427,7,0.002,0.001,0.6,1000
140.3362319,145.3739855,143.0140641,140.3362319,700000,22.44994432,Water,Pressure,0.0805614,68,0.00085649,0.05,0.043,7,0.002,0.001,0.6,1000
151.8,154.341,163.9395375,151.8,700000,22.44994432,Water,Pressure,0.0805614,66,0.000831664,0.05,0.0429,7,0.002,0.001,0.6,1000
150.15,161.233,165.7523219,150.15,700000,22.44994432,Water,Pressure,0.0805614,65,0.000819251,0.05,0.0428,7,0.002,0.001,0.6,1000
146.56,157.325,153.3533125,146.56,700000,22.44994432,Water,Pressure,0.0805614,64,0.000806838,0.05,0.0427,7,0.002,0.001,0.6,1000
146.56,150.577,154.263376,146.56,700000,22.44994432,Water,Pressure,0.079340773,64,0.000819251,0.05,0.0427,7,0.002,0.001,0.6,1000
