Nu,P,um,Fluid,SAT,Q,Re,dd,H,dn,Pr,At,mio,k,rho
116.4084403,400000,18.38477631,Water,Pressure,0.0344809,47.52192119,0.00137821,0.05,0.045,7,0.002,0.001,0.6,1000
78.40546611,131000,9.226256012,PF-5052,Pressure,0.123786274,46.813,0.000119,0.0111,0.0017,9.65,0.0001,0.000517,0.062,1643
80,195000,11.84905059,Water,Pressure,0.0282839,43,0.0015203,0.05,0.0445,7,0.002,0.001,0.6,1000
126.9465867,600000,22.5166605,Water,Pressure,0.0392479,42.9595739,0.00109457,0.05,0.045,7,0.002,0.001,0.6,1000
105,395000,16.86416319,Water,Pressure,0.0344809,42,0.001218066,0.05,0.0445,7,0.002,0.001,0.6,1000
116.6553705,800000,26,Water,Pressure,0.0440148,38.23702122,0.000868731,0.05,0.045,7,0.002,0.001,0.6,1000
91,390000,16.75708805,Water,Pressure,0.0344809,38,0.001102059,0.05,0.044,7,0.002,0.001,0.6,1000
105,595000,20.69782597,Water,Pressure,0.0392479,37,0.000942726,0.05,0.0445,7,0.002,0.001,0.6,1000
72,190000,11.69615321,Water,Pressure,0.0282839,37,0.001308165,0.05,0.044,7,0.002,0.001,0.6,1000
111,585000,20.52315765,Water,Pressure,0.0392479,37,0.000942726,0.05,0.0435,7,0.002,0.001,0.6,1000
76.7217858,103421,8.197741506,PF-5052,Pressure,0.087139086,34.4493,0.0001244,0.01166,0.00119,9.65,0.0001,0.000517,0.062,1643
100,795000,23.92488244,Water,Pressure,0.0440148,33,0.000749748,0.05,0.0445,7,0.002,0.001,0.6,1000
78,385000,16.64932431,Water,Pressure,0.0344809,33,0.000957052,0.05,0.0435,7,0.002,0.001,0.6,1000
72.88181316,103421,8.197741506,PF-5052,Pressure,0.083773386,32.3999,0.0001217,0.01166,0.00119,9.65,0.0001,0.000517,0.062,1643
91,590000,20.61067684,Water,Pressure,0.0392479,32,0.00081533,0.05,0.044,7,0.002,0.001,0.6,1000
61,185000,11.54123044,Water,Pressure,0.0282839,32,0.001131386,0.05,0.0435,7,0.002,0.001,0.6,1000
94.56077905,580000,20.43526364,Water,Pressure,0.0392479,32,0.00081533,0.05,0.043,7,0.002,0.001,0.6,1000
68.22489098,103421,8.197741506,PF-5052,Pressure,0.079961972,30.2397,0.000119,0.01166,0.00119,9.65,0.0001,0.000517,0.062,1643
87,790000,23.8495283,Water,Pressure,0.0440148,28,0.00063615,0.05,0.044,7,0.002,0.001,0.6,1000
68.5880589,380000,16.5408585,Water,Pressure,0.0344809,28,0.000812044,0.05,0.043,7,0.002,0.001,0.6,1000
52.55587101,180000,11.38419958,Water,Pressure,0.0282839,27,0.000954607,0.05,0.043,7,0.002,0.001,0.6,1000
