Nu,P,um,Fluid,SAT,Q,Re,dd,H,dn,Pr,At,mio,k,rho
76.7217858,103421,8.197741506,PF-5052,Pressure,8.7139086,34.4493,0.1244,0.01166,1.19,9.65,0.0001,0.000517,0.062,16.43
100,795000,23.92488244,Water,Pressure,4.40148,33,0.749748,0.05,44.5,7,0.002,0.001,0.6,10
78,385000,16.64932431,Water,Pressure,3.44809,33,0.957052,0.05,43.5,7,0.002,0.001,0.6,10
72.88181316,103421,8.197741506,PF-5052,Pressure,8.3773386,32.3999,0.1217,0.01166,1.19,9.65,0.0001,0.000517,0.062,16.43
91,590000,20.61067684,Water,Pressure,3.92479,32,0.81533,0.05,44,7,0.002,0.001,0.6,10
61,185000,11.54123044,Water,Pressure,2.82839,32,1.131386,0.05,43.5,7,0.002,0.001,0.6,10
94.56077905,580000,20.43526364,Water,Pressure,3.92479,32,0.81533,0.05,43,7,0.002,0.001,0.6,10
68.22489098,103421,8.197741506,PF-5052,Pressure,7.9961972,30.2397,0.119,0.01166,1.19,9.65,0.0001,0.000517,0.062,16.43
87,790000,23.8495283,Water,Pressure,4.40148,28,0.63615,0.05,44,7,0.002,0.001,0.6,10
68.5880589,380000,16.5408585,Water,Pressure,3.44809,28,0.812044,0.05,43,7,0.002,0.001,0.6,10
52.55587101,180000,11.38419958,Water,Pressure,2.82839,27,0.954607,0.05,43,7,0.002,0.001,0.6,10
78.24973287,278585.1622,13.69058425,Water,Pressure,0.5,25.2664,5.05328,0.254,16.844267,7,5.00E-05,0.001,0.6,10
48.47401026,200000,13,Water,Pressure,2.14513,24.99762892,1.16532,0.05,45,7,0.002,0.001,0.6,10
72,785000,23.77393531,Water,Pressure,4.40148,23,0.522552,0.05,43.5,7,0.002,0.001,0.6,10
73.91668482,275790,13.62172941,Water,Pressure,0.5,22.5322,4.50644,0.254,15.021467,7,5.00E-05,0.001,0.6,10
31.647,2000000,49.6,Water,Pressure,3.272,22.4132,0.685,0.1,8,7,0.000625,0.001,0.6,10
52.28738984,400000,18.38477631,Water,Pressure,2.46292,21.71389085,0.881632,0.05,45,7,0.002,0.001,0.6,10
32.5575,200000,17.2,Water,Pressure,0.916,20.61,2.25,0.1,8,7,0.000625,0.001,0.6,10
65.92158567,272994.8378,13.55252474,Water,Pressure,0.5,20.3808,4.07616,0.254,13.5872,7,5.00E-05,0.001,0.6,10
54.64227938,600000,22.5166605,Water,Pressure,2.8125,18.92235938,0.672795,0.05,45,7,0.002,0.001,0.6,10
42.804,500000,26.2,Water,Pressure,1.375,18.5625,1.35,0.1,8,7,0.000625,0.001,0.6,10
54.9152785,780000,23.69810119,Water,Pressure,4.40148,18,0.408953,0.05,43,7,0.002,0.001,0.6,10
41.74053333,1000000,36.1,Water,Pressure,2.088,17.24688,0.826,0.1,8,7,0.000625,0.001,0.6,10
39.78933333,896000,21.88210837,FC-72,Pressure,0.9017857,16.5703125,0.04,0.005,0.7,12,4.90E-05,0.00064,0.057,16.8
47.82901682,800000,26,Water,Pressure,3.00318,15.26116971,0.508167,0.05,45,7,0.002,0.001,0.6,10
49.52867256,270199.6757,13.48296487,Water,Pressure,0.5,14.8703,2.97406,0.254,9.913533,7,5.00E-05,0.001,0.6,10
41.11335614,689000,19.18866543,FC-72,Pressure,0.7834714,14.3962875,0.043,0.005,0.7,12,4.90E-05,0.00064,0.057,16.8
50.53499013,41368.5,5.184713232,PF-5052,Pressure,3.6085813,12.5,0.109,0.00943,0.76,9.65,0.0001,0.000517,0.062,16.43
45.60168908,41368.5,5.184713232,PF-5052,Pressure,3.4642381,12,0.109,0.00943,0.76,9.65,0.0001,0.000517,0.062,16.43
27.21745263,483000,16.0660356,FC-72,Pressure,0.6204286,11.400375,0.047,0.005,0.7,12,4.90E-05,0.00064,0.057,16.8
13.94826667,896000,21.2289111,FC-72,Pressure,0.5555,10.2073125,0.016,0.005,0.7,12,4.90E-05,0.00064,0.057,16.8
29.91366667,200000,17.2,Water,Pressure,0.579,9.9588,1.72,0.1,8,7,0.000625,0.001,0.6,10
23.59931053,344000,13.5585854,FC-72,Pressure,0.5151,9.4649625,0.051,0.005,0.7,12,4.90E-05,0.00064,0.057,16.8
21.22715801,200000,13,Water,Pressure,0.9375,8.979609375,0.957825,0.05,45,7,0.002,0.001,0.6,10
