P,Fluid,um,Q,Re,Nu,dd,H,dn,Pr,At,mio,k,rho
103421,PF-5052,8.197741506,79.961972,30.2397,68.22489098,1.19E+02,1.17E+01,1.19E+03,9.65,1,0.517,0.062,1643
103421,PF-5052,8.197741506,83.773386,32.3999,72.88181316,1.22E+02,1.17E+01,1.19E+03,9.65,1,0.517,0.062,1643
103421,PF-5052,8.197741506,87.139086,34.4493,76.7217858,1.24E+02,1.17E+01,1.19E+03,9.65,1,0.517,0.062,1643
131000,PF-5052,9.226256012,123.786274,46.813,78.40546611,1.19E+02,1.11E+01,1.70E+03,9.65,1,0.517,0.062,1643
131000,PF-5052,9.226256012,130.155795,52.1172,80.73403047,1.26E+02,1.11E+01,1.70E+03,9.65,1,0.517,0.062,1643
131000,PF-5052,9.226256012,134.130505,55.4138,84.36578943,1.30E+02,1.11E+01,1.70E+03,9.65,1,0.517,0.062,1643
131000,PF-5052,9.226256012,139.597342,61.2214,90.12161717,1.38E+02,1.11E+01,1.70E+03,9.65,1,0.517,0.062,1643
112234,water,8.240240895,1.88,1.020459095,3.92234,4.89E+02,3.00E+01,5.10E+02,7,19.63,0.9,0.6,1000
112234,water,8.240240895,1.88,1.050612237,4.32323,5.03E+02,3.00E+01,5.10E+02,7,19.63,0.9,0.6,1000
112234,water,8.240240895,1.88,1.105239981,4.58978,5.29E+02,3.00E+01,5.10E+02,7,19.63,0.9,0.6,1000
112234,water,8.240240895,1.88,1.171176833,4.94624,5.61E+02,3.00E+01,5.10E+02,7,19.63,0.9,0.6,1000
112234,water,8.240240895,1.88,1.268156898,5.21178,6.07E+02,3.00E+01,5.10E+02,7,19.63,0.9,0.6,1000
112234,water,8.240240895,1.88,1.35342742,5.41006,6.48E+02,3.00E+01,5.10E+02,7,19.63,0.9,0.6,1000
239061,water,12.02630055,2.75,2.01499312,7.63013,6.59E+02,3.00E+01,6.10E+02,7,19.63,0.9,0.6,1000
239061,water,12.02630055,2.75,2.104249214,7.68693,6.89E+02,3.00E+01,6.10E+02,7,19.63,0.9,0.6,1000
239061,water,12.02630055,2.75,2.278366678,7.91965,7.46E+02,3.00E+01,6.10E+02,7,19.63,0.9,0.6,1000
239061,water,12.02630055,2.75,2.484726064,8.09843,8.13E+02,3.00E+01,6.10E+02,7,19.63,0.9,0.6,1000
239061,water,12.02630055,2.75,2.789132847,8.21906,9.13E+02,3.00E+01,6.10E+02,7,19.63,0.9,0.6,1000
239061,water,12.02630055,2.75,2.976682326,8.53175,9.74E+02,3.00E+01,6.10E+02,7,19.63,0.9,0.6,1000
239061,water,12.02630055,2.75,3.108481427,8.53113,1.02E+03,3.00E+01,6.10E+02,7,19.63,0.9,0.6,1000
620528,water,19.3757436,4.43,3.270646414,9.68866,6.64E+02,3.00E+01,7.60E+02,7,19.63,0.9,0.6,1000
620528,water,19.3757436,4.43,3.416082253,10.4414,6.94E+02,3.00E+01,7.60E+02,7,19.63,0.9,0.6,1000
620528,water,19.3757436,4.43,3.516868211,11.3374,7.14E+02,3.00E+01,7.60E+02,7,19.63,0.9,0.6,1000
620528,water,19.3757436,4.43,3.673169504,12.1271,7.46E+02,3.00E+01,7.60E+02,7,19.63,0.9,0.6,1000
620528,water,19.3757436,4.43,3.892103554,12.7786,7.91E+02,3.00E+01,7.60E+02,7,19.63,0.9,0.6,1000
620528,water,19.3757436,4.43,4.123853865,13.1659,8.38E+02,3.00E+01,7.60E+02,7,19.63,0.9,0.6,1000
300000,R-134a,17.1464282,0.558301,0.149527461,1.37049375,5.00E+01,9.00E+01,5.10E+02,13,64,0.23,0.01409,1232
500000,R-134a,22.13594362,0.494495,0.092707026,0.988474375,3.50E+01,9.00E+01,5.10E+02,13,64,0.23,0.01409,1232
700000,R-134a,26.19160171,0.430689,0.064595863,0.8082515,2.80E+01,9.00E+01,5.10E+02,13,64,0.23,0.01409,1232
325888,water,15.31794242,24.86362,3.47686878,5.272040327,1.40E+02,1.45E+01,5.60E+02,7,2,1,0.6,1000
367005,water,16.25557135,26.3058,3.56705747,5.891579198,1.36E+02,1.45E+01,5.60E+02,7,2,1,0.6,1000
405076,water,17.07790151,27.286116,3.606603549,6.411345227,1.32E+02,1.45E+01,5.60E+02,7,2,1,0.6,1000
423350,water,17.45886594,28.151494,3.678704469,6.698981344,1.31E+02,1.45E+01,5.60E+02,7,2,1,0.6,1000
455330,water,18.1062862,29.34833,3.763444697,7.25182888,1.28E+02,1.45E+01,5.60E+02,7,2,1,0.6,1000
501015,water,18.99291447,30.328998,3.794070257,7.649626188,1.25E+02,1.45E+01,5.60E+02,7,2,1,0.6,1000
516244,water,19.27941078,31.091564,3.859417511,9.33119409,1.24E+02,1.45E+01,5.60E+02,7,2,1,0.6,1000
537563,water,19.67346843,31.739016,3.898709629,10.81526251,1.23E+02,1.45E+01,5.60E+02,7,2,1,0.6,1000
555838,water,20.00508335,32.472935,3.954472791,12.45769603,1.22E+02,1.45E+01,5.60E+02,7,2,1,0.6,1000
584772,water,20.51915788,33.120211,3.980633682,13.9804245,1.20E+02,1.45E+01,5.60E+02,7,2,1,0.6,1000
274800,water,14.76943601,4.5,0.198,0.377624247,4.40E+01,1.30E+01,4.91E+02,7,7,1,0.6,1000
274800,water,14.76943601,4.4,0.1936,0.37173032,4.40E+01,1.30E+01,4.91E+02,7,7,1,0.6,1000
274800,water,14.76943601,4.3,0.1892,0.365796067,4.40E+01,1.30E+01,4.91E+02,7,7,1,0.6,1000
274800,water,14.76943601,4.2,0.1848,0.359820262,4.40E+01,1.30E+01,4.91E+02,7,7,1,0.6,1000
274800,water,14.76943601,4.1,0.1804,0.353801616,4.40E+01,1.30E+01,4.91E+02,7,7,1,0.6,1000
274800,water,14.76943601,4,0.176,0.347738764,4.40E+01,1.30E+01,4.91E+02,7,7,1,0.6,1000
274800,water,14.76943601,3.9,0.1716,0.341630265,4.40E+01,1.30E+01,4.91E+02,7,7,1,0.6,1000
274800,water,14.76943601,3.8,0.1672,0.33547459,4.40E+01,1.30E+01,4.91E+02,7,7,1,0.6,1000
274800,water,14.76943601,3.7,0.1628,0.329270118,4.40E+01,1.30E+01,4.91E+02,7,7,1,0.6,1000
274800,water,14.76943601,3.6,0.1584,0.323015129,4.40E+01,1.30E+01,4.91E+02,7,7,1,0.6,1000
274800,water,14.76943601,3.5,0.154,0.316707788,4.40E+01,1.30E+01,4.91E+02,7,7,1,0.6,1000
274800,water,14.76943601,3.4,0.1496,0.310346145,4.40E+01,1.30E+01,4.91E+02,7,7,1,0.6,1000
274800,water,14.76943601,3.3,0.1452,0.303928111,4.40E+01,1.30E+01,4.91E+02,7,7,1,0.6,1000
274800,water,14.76943601,3.2,0.1408,0.297451455,4.40E+01,1.30E+01,4.91E+02,7,7,1,0.6,1000
274800,water,14.76943601,3.1,0.1364,0.290913783,4.40E+01,1.30E+01,4.91E+02,7,7,1,0.6,1000
274800,water,14.76943601,3,0.132,0.284312524,4.40E+01,1.30E+01,4.91E+02,7,7,1,0.6,1000
274800,water,14.76943601,2.9,0.1276,0.277644907,4.40E+01,1.30E+01,4.91E+02,7,7,1,0.6,1000
274800,water,14.76943601,2.8,0.1232,0.27090794,4.40E+01,1.30E+01,4.91E+02,7,7,1,0.6,1000
274800,water,14.76943601,2.7,0.1188,0.264098386,4.40E+01,1.30E+01,4.91E+02,7,7,1,0.6,1000
274800,water,14.76943601,2.6,0.1144,0.257212728,4.40E+01,1.30E+01,4.91E+02,7,7,1,0.6,1000
274800,water,14.76943601,2.5,0.11,0.250247138,4.40E+01,1.30E+01,4.91E+02,7,7,1,0.6,1000
274800,water,14.76943601,2.4,0.1056,0.24319743,4.40E+01,1.30E+01,4.91E+02,7,7,1,0.6,1000
274800,water,14.76943601,2.3,0.1012,0.236059019,4.40E+01,1.30E+01,4.91E+02,7,7,1,0.6,1000
274800,water,14.76943601,2.2,0.0968,0.228826854,4.40E+01,1.30E+01,4.91E+02,7,7,1,0.6,1000
980665,water,26.57214331,2.46792,0.211192538,1.31024059,8.56E+01,1.50E+01,4.00E+02,7,3.14,1,0.6,1000
980665,water,26.57214331,2.73962,0.234443297,1.387012878,8.56E+01,1.50E+01,4.00E+02,7,3.14,1,0.6,1000
1470997.5,water,32.54409624,3.0566,0.235493251,1.363938861,7.70E+01,1.50E+01,4.00E+02,7,3.14,1,0.6,1000
1470997.5,water,32.54409624,3.41887,0.275314269,1.521936201,8.05E+01,1.50E+01,4.30E+02,7,3.14,1,0.6,1000
1470997.5,water,32.54409624,3.69057,0.297193687,1.618260937,8.05E+01,1.50E+01,4.30E+02,7,3.14,1,0.6,1000
686465.5,water,22.23185013,4.05283,0.397586623,2.049640269,9.81E+01,1.50E+01,4.30E+02,7,3.14,1,0.6,1000
686465.5,water,22.23185013,4.50566,0.466717056,2.29843902,1.04E+02,1.50E+01,4.70E+02,7,3.14,1,0.6,1000
735498.75,water,23.01215114,4.77736,0.486096786,2.33887833,1.02E+02,1.80E+01,4.70E+02,7,3.14,1,0.6,1000
490332.5,water,18.78934272,5.20755,0.588539838,2.778099863,1.13E+02,1.80E+01,4.70E+02,7,3.14,1,0.6,1000
490332.5,water,18.78934272,5.50189,0.621805158,2.890758624,1.13E+02,1.80E+01,4.70E+02,7,3.14,1,0.6,1000
490332.5,water,18.78934272,5.90943,0.667863962,3.048473354,1.13E+02,1.80E+01,4.70E+02,7,3.14,1,0.6,1000
392266,water,16.80569903,6.29434,0.792289009,3.58346447,1.26E+02,1.80E+01,5.10E+02,7,3.14,1,0.6,1000
392266,water,16.80569903,6.72453,0.846438421,3.708939118,1.26E+02,1.80E+01,5.10E+02,7,3.14,1,0.6,1000
